job_id,permit_type,permit_subtype,work_type,job_type,filing_status,filing_date,borough,community_board,residential,bldg_type,zip_code
401116403,AL,,,A1,RENEWAL,2024-01-09,QUEENS,410,,2,11419
123690595,EW,OT,OT,A2,RENEWAL,2024-01-09,MANHATTAN,105,,2,10001
500152586,NB,,,NB,RENEWAL,2024-01-11,STATEN ISLAND,503,YES,1,10312
320891843,NB,,,NB,RENEWAL,2024-01-11,BROOKLYN,312,YES,2,11219
220590885,EW,FS,FS,A2,INITIAL,2024-01-12,BRONX,201,,2,10455
240329337,EW,OT,OT,A2,RENEWAL,2024-01-17,BRONX,208,YES,2,10471
220206159,AL,,,A1,RENEWAL,2024-01-12,BRONX,204,YES,2,10451
322072216,FO,EA,,NB,INITIAL,2024-01-12,BROOKLYN,307,YES,1,11232
103652352,EW,MH,MH,A2,INITIAL,2024-01-16,MANHATTAN,103,,2,10038
421417121,EW,SP,SP,A2,RENEWAL,2024-01-16,QUEENS,403,,2,11369
440757575,EW,OT,OT,A2,RENEWAL,2024-01-16,QUEENS,411,YES,1,11361
321109901,EQ,FN,EQ,A1,RENEWAL,2024-01-16,BROOKLYN,312,YES,1,11204
500867680,DM,,,DM,RENEWAL,2024-01-17,STATEN ISLAND,501,,2,10301
104680481,AL,,,A1,RENEWAL,2024-01-17,MANHATTAN,102,YES,2,10012
421685607,AL,,,A1,RENEWAL,2024-01-19,QUEENS,407,YES,1,11357
421925787,EW,MH,MH,A2,RENEWAL,2024-01-19,QUEENS,414,,1,11694
322037988,EW,OT,OT,A2,RENEWAL,2024-01-19,BROOKLYN,302,YES,2,11238
421935026,FO,,,NB,RENEWAL,2024-01-19,QUEENS,412,YES,2,11434
320978064,NB,,,NB,RENEWAL,2024-01-19,BROOKLYN,311,YES,2,11214
220736666,AL,,,A1,RENEWAL,2024-01-22,BRONX,204,,2,10451
322111488,DM,,,DM,RENEWAL,2024-01-23,BROOKLYN,301,,2,11211
300326476,PL,,PL,A1,INITIAL,2024-01-25,BROOKLYN,315,,2,11229
240329738,EW,OT,OT,A2,RENEWAL,2024-01-23,BRONX,208,YES,2,10471
340766923,AL,,OT,A3,RENEWAL,2024-01-23,BROOKLYN,304,YES,2,11237
322072216,FO,,,NB,INITIAL,2024-01-25,BROOKLYN,307,YES,1,11232
321109901,FO,EA,,A1,INITIAL,2024-01-25,BROOKLYN,312,YES,1,11204
321109901,FO,,,A1,INITIAL,2024-01-25,BROOKLYN,312,YES,1,11204
321109901,AL,,,A1,INITIAL,2024-01-25,BROOKLYN,312,YES,1,11204
210028726,NB,,,NB,RENEWAL,2024-01-31,BRONX,205,,2,10468
340643511,EW,OT,OT,A2,RENEWAL,2024-02-01,BROOKLYN,309,YES,2,11226
